warehouse_id,warehouse_region,capacity_units,fixed_daily_cost_usd
WH-N100000,North,120000,1800
WH-S100001,South,115000,1700
WH-E100002,East,118000,1750
WH-W100003,West,110000,1680
WH-C100004,Central,180000,2600
WH-N100005,North,120000,1800
WH-S100006,South,115000,1700
WH-E100007,East,118000,1750
WH-W100008,West,110000,1680
WH-C100009,Central,180000,2600
WH-N100010,North,120000,1800
WH-S100011,South,115000,1700
WH-E100012,East,118000,1750
WH-W100013,West,110000,1680
WH-C100014,Central,180000,2600
WH-N100015,North,120000,1800
WH-S100016,South,115000,1700
WH-E100017,East,118000,1750
WH-W100018,West,110000,1680
WH-C100019,Central,180000,2600
WH-N100020,North,120000,1800
WH-S100021,South,115000,1700
WH-E100022,East,118000,1750
WH-W100023,West,110000,1680
WH-C100024,Central,180000,2600
WH-N100025,North,120000,1800
WH-S100026,South,115000,1700
WH-E100027,East,118000,1750
WH-W100028,West,110000,1680
WH-C100029,Central,180000,2600
WH-N100030,North,120000,1800
WH-S100031,South,115000,1700
WH-E100032,East,118000,1750
WH-W100033,West,110000,1680
WH-C100034,Central,180000,2600
WH-N100035,North,120000,1800
WH-S100036,South,115000,1700
WH-E100037,East,118000,1750
WH-W100038,West,110000,1680
WH-C100039,Central,180000,2600
WH-N100040,North,120000,1800
WH-S100041,South,115000,1700
WH-E100042,East,118000,1750
WH-W100043,West,110000,1680
WH-C100044,Central,180000,2600
WH-N100045,North,120000,1800
WH-S100046,South,115000,1700
WH-E100047,East,118000,1750
WH-W100048,West,110000,1680
WH-C100049,Central,180000,2600
WH-N100050,North,120000,1800
WH-S100051,South,115000,1700
WH-E100052,East,118000,1750
WH-W100053,West,110000,1680
WH-C100054,Central,180000,2600
WH-N100055,North,120000,1800
WH-S100056,South,115000,1700
WH-E100057,East,118000,1750
WH-W100058,West,110000,1680
WH-C100059,Central,180000,2600
WH-N100060,North,120000,1800
WH-S100061,South,115000,1700
WH-E100062,East,118000,1750
WH-W100063,West,110000,1680
WH-C100064,Central,180000,2600
WH-N100065,North,120000,1800
WH-S100066,South,115000,1700
WH-E100067,East,118000,1750
WH-W100068,West,110000,1680
WH-C100069,Central,180000,2600
WH-N100070,North,120000,1800
WH-S100071,South,115000,1700
WH-E100072,East,118000,1750
WH-W100073,West,110000,1680
WH-C100074,Central,180000,2600
WH-N100075,North,120000,1800
WH-S100076,South,115000,1700
WH-E100077,East,118000,1750
WH-W100078,West,110000,1680
WH-C100079,Central,180000,2600
WH-N100080,North,120000,1800
WH-S100081,South,115000,1700
WH-E100082,East,118000,1750
WH-W100083,West,110000,1680
WH-C100084,Central,180000,2600
WH-N100085,North,120000,1800
WH-S100086,South,115000,1700
WH-E100087,East,118000,1750
